,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk_err1,koi_duration_err1,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,ra,log,svm,cnn,Final_Selection
223,0,0,0,0,39.4759093,0.0025,0.146,1012.6,577,26.6,1,6225,172,-237,4.45,0.054000000000000006,-0.21600000000000003,291.20804,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
244,0,0,0,0,102.9641952,0.0037700000000000003,0.263,1896.7,797,86.1,1,5047,40,-160,3.0660000000000003,0.033,-0.027000000000000003,296.81772,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
248,0,0,0,0,90.1240507,0.0032,0.28,3020.3,485,57.9,1,6520,180,-248,4.375,0.055999999999999994,-0.22399999999999998,293.22391,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
250,0,0,0,0,0.689210173,0.0005200000000000001,0.0179,195.0,1943,93.4,1,5630,100,-122,4.505,0.023,-0.128,281.55118,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
266,0,0,0,0,13.11896244,0.00032900000000000003,0.0122,372.2,1768,267.4,1,7221,114,-171,3.488,0.272,-0.048,282.00031,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
269,0,0,0,0,53.5057611,0.00248,0.077,195.6,675,71.2,1,6247,75,-69,4.016,0.03,-0.027000000000000003,295.80267000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
272,0,0,0,0,6.79685353,0.00297,0.0835,393.1,985,29.8,1,6061,180,-198,4.486000000000001,0.05,-0.2,294.16321,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
278,0,0,0,0,13.4471791,0.0007700000000000001,0.0546,1428.2,848,105.3,1,6276,169,-206,4.405,0.087,-0.203,292.37476000000004,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
284,0,0,0,0,1.353771892,0.002,0.212,1349.1,4903,76.7,1,4283,77,-60,2.012,0.11199999999999999,-0.13699999999999998,292.71963999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
306,0,0,0,0,119.0624882,0.0010400000000000001,0.0589,5372.3,366,71.6,1,5697,173,-173,4.3919999999999995,0.171,-0.19,287.88812,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
314,0,0,0,0,5.670155713,0.0007769999999999999,0.0608,536.7,341,37.3,1,3337,115,-57,5.126,0.10400000000000001,-0.127,292.26181,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
326,0,0,0,0,16.15811112,0.0036299999999999995,0.187,2319.8,660,52.8,1,5619,173,-156,4.5360000000000005,0.03,-0.29100000000000004,296.38229,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
333,0,0,0,0,1.187352427,0.000176,0.0139,20703.0,2251,717.4,1,6424,179,-247,4.186,0.18,-0.18,285.06335,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
340,0,0,0,0,8.17242644,0.0024,0.141,864.3,858,37.0,1,5705,76,-76,4.499,0.045,-0.113,293.87363,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
342,0,0,0,0,4.298920099999999,0.00396,0.131,237.6,1046,20.0,1,5300,87,-71,4.385,0.132,-0.08800000000000001,291.14249,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
347,0,0,0,0,5.714817602999999,0.000154,0.00573,12295.0,943,537.7,1,5695,189,-189,4.526,0.057999999999999996,-0.17300000000000001,299.78632000000005,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
351,0,0,0,0,2.83668931,0.00636,0.23,166.1,1242,12.1,3,5831,184,-205,4.5169999999999995,0.038,-0.212,290.21518,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
364,0,0,0,0,2.624234833,0.000122,0.0316,2607.0,1164,361.1,1,5340,106,-106,4.513999999999999,0.033,-0.10400000000000001,288.0383,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
397,0,0,0,0,30.5872153,0.00281,0.0906,464.8,621,33.1,1,5944,106,-130,4.38,0.08,-0.12,296.54861,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
401,0,0,0,0,3.1082511719999997,0.00040899999999999997,0.0646,1867.7,1096,156.5,1,5330,159,-143,4.495,0.085,-0.114,294.79974,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
402,0,0,0,0,40.715561,0.004079999999999999,0.131,680.9,578,28.9,1,6297,169,-225,4.448,0.052000000000000005,-0.20800000000000002,297.9516,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
409,0,0,0,0,6.50327035,0.0035700000000000003,0.131,418.3,804,19.0,1,4999,79,-79,4.49,0.075,-0.03,292.14447,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
410,0,0,0,0,4.09667624,0.0037600000000000003,0.122,302.3,938,16.2,3,4999,79,-79,4.49,0.075,-0.03,292.14447,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
422,0,0,0,0,22.65117451,0.000551,0.0364,2250.0,855,170.1,1,6968,194,-267,4.31,0.057999999999999996,-0.23199999999999998,290.10332999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
424,0,0,0,0,7.71790675,0.0046700000000000005,0.14800000000000002,306.8,502,12.6,1,3975,71,-87,4.753,0.031,-0.038,281.05011,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
429,0,1,0,0,6.8108237229999995,0.00011499999999999999,0.00861,14447.0,1626,1441.9,1,7226,228,-304,3.967,0.315,-0.135,299.10281000000003,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
446,0,0,0,0,64.617518,0.00236,0.235,2486.6,383,61.9,1,5043,164,-149,4.47,0.10400000000000001,-0.095,297.01482999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
458,0,0,0,0,51.59809554,0.000721,0.0363,5869.2,449,79.7,1,5681,169,-169,4.551,0.034,-0.195,287.61688,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
464,0,0,0,0,21.76129812,0.000641,0.026000000000000002,1300.7,486,60.0,1,4859,97,-97,4.612,0.015,-0.045,291.25449,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
465,0,0,0,0,12.71379418,1.4999999999999999e-05,0.0037799999999999995,36719.0,181,2981.3,1,2661,0,0,5.2829999999999995,0.0,0.0,287.55972,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
477,0,0,0,0,7.0539344879999994,0.000874,0.0315,511.5,840,56.3,1,5357,107,-107,4.498,0.057999999999999996,-0.065,291.06293,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
479,0,0,0,0,7.6746614,0.00265,0.0698,503.0,957,20.8,1,6063,190,-232,4.47,0.054000000000000006,-0.21600000000000003,296.13141,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
490,0,0,0,0,0.764017553,0.00448,0.14300000000000002,128.2,1589,13.2,3,5142,153,-153,4.602,0.033,-0.083,286.41,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
492,0,0,0,0,20.51360192,0.0031,0.0947,1174.1,540,32.3,1,5310,185,-185,4.6080000000000005,0.045,-0.078,281.60541,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
494,0,0,0,0,150.01895109999998,0.000916,0.0486,4319.7,325,106.2,2,5618,112,-112,4.46,0.081,-0.09,283.20917000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
497,0,0,0,0,205.912735,0.00324,0.153,2378.8,298,49.4,1,5644,76,-84,4.457,0.051,-0.11,292.3515,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
499,0,0,0,0,0.783276173,0.00112,0.0357,264.7,2149,46.9,1,5640,76,-76,4.247,0.162,-0.10800000000000001,292.17859,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
515,0,0,0,0,345.15893539999996,0.000785,0.0644,5087.9,241,197.9,1,5597,112,-112,4.515,0.021,-0.11900000000000001,287.02227999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
517,0,0,0,0,99.6442783,0.0007610000000000001,0.0643,3215.6,415,163.2,1,6102,82,-91,4.447,0.04,-0.12,292.22839,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
549,0,0,0,0,6.84639884,0.00237,0.0593,149.7,1132,36.3,1,6065,121,-133,4.251,0.125,-0.125,295.29385,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
552,0,0,0,0,3.0161820130000003,0.00266,0.0793,222.5,1449,31.9,1,5611,84,-75,4.144,0.195,-0.105,293.46902,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
564,0,0,0,0,321.2124365,0.0009939999999999999,0.165,2358.6,310,81.7,1,6018,120,-120,4.257,0.13699999999999998,-0.11199999999999999,288.32043,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
574,0,0,0,0,15.19423359,0.00458,0.125,367.8,893,18.1,2,5588,83,-75,4.047,0.203,-0.087,287.1749,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
605,0,0,0,0,162.04795019999997,0.000508,0.046,4840.5,437,370.2,1,6309,75,-82,4.16,0.14800000000000002,-0.121,294.2655,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
616,0,0,0,0,1.694740233,0.000547,0.0323,1446.8,797,92.3,1,3764,75,-83,4.739,0.033,-0.033,283.55554,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
623,0,0,0,0,22.79020351,0.00257,0.079,617.9,634,47.7,1,5478,82,-74,4.354,0.132,-0.096,285.0361,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
624,0,0,0,0,13.26079792,0.00554,0.16899999999999998,199.4,760,17.6,2,5478,82,-74,4.354,0.132,-0.096,285.0361,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
630,0,0,0,0,6.230335,0.00134,0.0514,1449.2,875,31.6,1,5477,172,-191,4.5569999999999995,0.027000000000000003,-0.153,284.20966,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
633,0,0,0,0,6.247030799,0.00103,0.0365,1496.6,512,44.8,1,3821,76,-84,4.763999999999999,0.048,-0.036000000000000004,299.6777,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
643,0,0,0,0,42.0370662,0.00748,0.22,266.8,527,14.7,2,5823,157,-174,4.427,0.10099999999999999,-0.188,292.27612,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
644,0,0,0,0,21.0112068,0.0115,0.319,163.6,663,10.2,3,5823,157,-174,4.427,0.10099999999999999,-0.188,292.27612,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
645,0,0,0,0,5.82348911,0.0016,0.0524,888.7,955,38.1,1,5774,172,-189,4.526,0.048,-0.192,285.96786000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
646,0,0,0,0,8.75059775,0.00278,0.0852,881.9,682,28.3,1,4942,177,-177,4.599,0.02,-0.075,295.76083,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
657,0,0,0,0,49.4781446,0.0033,0.102,496.6,462,20.4,1,5776,138,-155,4.553999999999999,0.035,-0.196,286.96682999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
664,0,0,0,0,14.53410833,0.00257,0.0799,510.6,420,32.5,1,3957,71,-87,4.6930000000000005,0.042,-0.018000000000000002,290.29456,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
692,0,0,0,0,13.73808249,0.0012,0.11599999999999999,660.7,912,68.4,1,6375,171,-209,4.292,0.149,-0.182,298.18362,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
711,0,1,0,0,2.380862632,4.05e-05,0.0033,32634.0,1480,2590.6,1,5821,158,-176,4.297,0.19,-0.19,289.79077,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
714,0,0,0,0,3.014330766,0.00125,0.0414,975.3,1124,57.3,1,5209,183,-183,4.446000000000001,0.092,-0.138,298.45953,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
715,0,0,0,0,5.644914153999999,0.0011,0.0433,1397.9,744,63.9,1,4769,172,-172,4.622,0.024,-0.06,295.8255,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
718,0,0,0,0,13.35151248,0.000833,0.0464,3308.8,585,107.9,1,4843,173,-173,4.562,0.054000000000000006,-0.040999999999999995,290.1127,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
729,0,0,0,0,8.74292005,0.00266,0.0846,779.5,643,30.7,2,4769,172,-172,4.622,0.024,-0.06,295.8255,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
730,0,0,0,0,37.10114179999999,0.00202,0.0788,1357.5,532,55.2,2,5986,179,-215,4.527,0.06,-0.192,291.02069,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
731,0,0,0,0,104.8205868,0.0015,0.0878,3920.1,376,76.6,1,5986,179,-215,4.527,0.06,-0.192,291.02069,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
743,0,0,0,0,34.296636299999996,0.00505,0.267,696.6,584,66.7,1,5490,82,-74,4.263,0.174,-0.11599999999999999,294.23007,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
744,0,0,0,0,9.97716876,0.00549,0.22,252.9,1028,21.8,1,5557,83,-72,4.037,0.21,-0.09,297.79691,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
749,0,0,0,0,105.0145774,0.0037,0.317,296.0,406,33.9,1,5868,105,-117,4.363,0.115,-0.10300000000000001,294.27727999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
752,0,0,0,0,16.00460392,0.00301,0.0887,831.9,583,34.3,1,5180,155,-155,4.5969999999999995,0.026000000000000002,-0.09699999999999999,288.23666000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
764,0,0,0,0,59.6585348,0.00603,0.353,1043.8,393,21.2,1,5243,84,-73,4.547,0.027999999999999997,-0.077,293.64417000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
768,0,0,0,0,8.19596647,0.00427,0.13,792.8,672,20.2,1,4723,167,-167,4.5569999999999995,0.063,-0.032,295.45715,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
788,0,0,0,0,2.42150341,0.005,0.16699999999999998,171.5,1532,15.8,2,6213,173,-259,4.387,0.06,-0.192,285.0571,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
794,0,0,0,0,20.6654374,0.006509999999999999,0.21,100.4,487,13.6,1,4830,96,-96,4.605,0.042,-0.021,294.99023,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
795,0,0,0,0,69.8347983,0.00372,0.10800000000000001,266.6,765,46.8,1,7732,214,-322,4.075,0.135,-0.165,293.54889,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
806,0,0,0,0,5.93919041,0.00367,0.115,424.5,1357,15.9,2,6068,82,-82,4.04,0.182,-0.11199999999999999,297.58313,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
809,0,0,0,0,4.16787814,0.00206,0.0649,168.1,962,32.9,1,5251,73,-84,4.541,0.027999999999999997,-0.083,291.74838,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
819,0,0,0,0,11.30507984,0.00509,0.157,278.4,744,19.5,1,5705,152,-186,4.556,0.034,-0.195,290.25964,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
822,0,0,0,0,12.68173393,0.000434,0.0283,5879.1,601,102.8,1,4976,136,-136,4.577,0.071,-0.044000000000000004,286.0528,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
829,0,1,0,0,3.479425638,0.00067,0.0884,19550.0,1166,123.3,1,5907,158,-175,4.519,0.062,-0.188,295.6713,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
832,0,0,0,0,24.81097206,0.000615,0.0297,2090.8,631,123.9,1,6086,182,-200,4.511,0.052000000000000005,-0.221,296.84616,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
833,0,0,0,0,7.136922,0.00185,0.0496,221.6,956,23.7,2,6086,182,-200,4.511,0.052000000000000005,-0.221,296.84616,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
835,0,0,0,0,3.72020708,0.00371,0.11800000000000001,156.9,954,15.0,1,5017,151,-151,4.516,0.08800000000000001,-0.08800000000000001,298.46578999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
845,0,0,0,0,5.83393857,0.0030399999999999997,0.0845,134.4,1285,17.6,3,5597,112,-101,3.963,0.054000000000000006,-0.045,297.91687,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
849,0,0,0,0,6.33027476,0.00807,0.27699999999999997,89.2,1046,9.8,3,5900,173,-188,4.363,0.114,-0.25,298.29495,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
850,0,0,0,0,4.04355245,0.00265,0.16,416.2,613,21.2,1,3871,77,-84,4.744,0.021,-0.053,284.13287,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
851,0,0,0,0,5.59728249,0.00231,0.0621,1407.3,930,30.8,1,5610,177,-197,4.551,0.038,-0.142,295.43436,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
853,0,0,0,0,10.12742274,0.00245,0.0808,933.5,969,19.5,1,6392,157,-246,4.399,0.065,-0.195,294.14682,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
856,0,0,0,0,21.06075303,0.00227,0.0663,301.2,669,54.4,1,5706,114,-103,4.382,0.099,-0.11,298.17722000000003,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
863,0,0,0,0,51.390145200000006,0.01,0.213,494.0,570,15.4,1,6074,81,-90,4.284,0.10300000000000001,-0.126,293.62592,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
873,0,0,0,0,29.542256599999998,0.008709999999999999,0.522,879.9,515,39.5,1,5510,166,-149,4.572,0.038,-0.152,282.43917999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
874,0,0,0,0,186.4361811,0.00207,0.157,4347.0,353,66.5,1,5393,80,-64,4.132,0.28,-0.12,290.12857,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
878,0,0,0,0,35.636402200000006,0.00799,0.301,452.6,537,15.7,1,5926,160,-178,4.532,0.042,-0.168,290.24102999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
880,0,0,0,0,8.98128472,0.00156,0.0736,4924.0,898,76.6,1,5977,187,-229,4.473,0.048,-0.192,296.57153,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
884,0,0,0,0,192.667139,0.0042,0.168,1148.3,283,26.0,1,5401,107,-107,4.487,0.065,-0.071,296.6713,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
894,0,0,0,0,14.62399621,0.00225,0.134,1082.0,681,25.0,1,5753,155,-172,4.57,0.038,-0.152,291.33718999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
906,0,0,0,0,2.418406841,0.0008640000000000001,0.0311,665.4,1226,69.1,2,5422,108,-108,4.484,0.063,-0.077,295.28722999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
907,0,0,0,0,6.93910337,0.00349,0.133,614.7,445,22.9,1,3638,72,-87,4.843999999999999,0.049,-0.055,291.285,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
912,0,0,0,0,15.43400996,0.00159,0.0764,1785.9,721,59.7,1,5900,164,-226,4.5089999999999995,0.037000000000000005,-0.213,297.35233,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
917,0,1,0,0,2.8194533219999998,0.00054,0.0411,71867.0,1357,202.0,1,5767,155,-155,4.33,0.18,-0.18,284.664,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
918,0,0,0,0,12.89006728,0.00325,0.11699999999999999,602.5,620,23.6,1,4915,78,-88,4.512,0.07200000000000001,-0.022000000000000002,294.36487,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
920,0,0,0,0,4.74666128,0.0047799999999999995,0.156,256.8,865,12.5,3,4915,78,-88,4.512,0.07200000000000001,-0.022000000000000002,294.36487,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
921,0,0,0,0,19.65639342,0.00266,0.215,843.2,549,25.5,1,5288,159,-143,4.613,0.036000000000000004,-0.09,297.73984,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
923,0,0,0,0,70.468171,0.00345,0.12,922.4,511,45.0,1,6461,158,-225,4.396,0.067,-0.20199999999999999,293.87987999999996,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
925,0,0,0,0,23.02028478,0.000837,0.131,5077.8,604,97.2,1,5613,166,-200,4.496,0.048,-0.192,280.36023,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
927,0,0,0,0,1.609321941,0.00158,0.0505,728.5,958,35.3,1,4224,84,-84,4.662,0.025,-0.02,297.43039,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
928,0,0,0,0,9.51220046,0.00296,0.0837,1169.4,530,31.9,2,4224,84,-84,4.662,0.025,-0.02,297.43039,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
933,0,1,0,0,2.3792821969999998,0.000139,0.00588,48434.0,1571,538.0,1,6392,153,-230,4.399,0.054000000000000006,-0.21600000000000003,293.19507000000004,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
938,0,0,0,0,0.708621057,0.0016600000000000002,0.0526,187.5,1846,30.5,3,5422,108,-108,4.484,0.063,-0.077,295.28722999999997,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
940,0,0,0,0,3.403743926,0.000682,0.04,815.9,1101,59.5,1,5596,152,-169,4.533,0.044000000000000004,-0.165,293.25916,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
942,0,0,0,0,2.43902575,0.00206,0.0723,82.5,2307,20.5,1,6546,78,-78,3.8169999999999997,0.165,-0.135,297.51907,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
943,0,0,0,0,56.35879870000001,0.0036799999999999997,0.268,2559.6,419,44.4,1,5446,162,-162,4.525,0.07200000000000001,-0.126,290.85413,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
950,0,1,0,0,5.9103714179999995,8.39e-05,0.0030600000000000002,17219.0,1053,990.3,1,6200,200,-250,4.488,0.05,-0.2,293.83688,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
951,0,0,0,0,0.917568975,0.000454,0.0716,15805.0,1748,128.1,1,5713,154,-188,4.541,0.031,-0.168,298.5137,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
954,0,0,0,0,7.79668781,0.0022,0.0639,361.3,1116,48.5,1,6521,117,-143,4.352,0.025,-0.136,298.36884,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
958,0,0,0,0,10.418891499999999,0.00193,0.0485,670.0,855,42.1,1,5692,173,-173,4.36,0.132,-0.198,298.01443,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
959,0,0,0,0,20.4998763,0.006640000000000001,0.142,437.8,731,21.1,1,6249,174,-217,4.428,0.067,-0.20199999999999999,290.32651,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
962,0,0,0,0,7.00447892,0.00635,0.19399999999999998,231.4,754,9.9,2,4883,77,-87,4.515,0.064,-0.02,286.74188,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED
